Треска;16.0;0.6;0.0;69.0;Морепродукты
Тунец в собственном соку консервы;23.5;0.6;0.0;99.0;Морепродукты
Тыква;1.0;0.0;6.5;29.0;Бахчевые
Тёрн;1.5;0.0;9.3;47.0;Фрукты
Укроп;2.5;0.5;4.5;32.0;Овощи
Утка для жарки;25.2;11.9;0.68;284.0;Птица 
Фасоль;22.3;1.7;54.5;309.0;Зернобобовые
Фасоль в томатном соусе (консервированная);4.6;0.2;13.1;73.0;Зернобобовые
Фасоль красная;22.3;1.7;54.7;309.0;Зернобобовые
Финики;2.5;0.0;72.1;281.0;Фрукты
Финики;2.2;0.5;66.3;305.0;Сухофрукты
Фисташки жареные солёные;21.2;38.8;14.3;655.0;Орехи
Форель;19.5;5.5;0.0;130.0;Морепродукты
Форель слабосолёная;23.5;11.5;0.0;203.0;Морепродукты
Фундук жареный;16.1;66.9;9.9;704.0;Орехи
Халва миндальная;10.0;28.0;53.5;123.3;Сладости
Хлеб пшеничный;8.1;1.2;42.0;203.0;Хлебобулочные 
Хлеб пшеничный лепёшка домашняя;8.98;6.51;57.77;331.3;Хлебобулочные 
Хлеб пшеничный нарезной батон;8.2;0.95;54.06;263.0;Хлебобулочные 
Хлеб пшеничный особый батон;7.4;0.8;50.0;240.0;Хлебобулочные 
Хлеб ржано-пшеничный;7.0;1.1;40.3;193.0;Хлебобулочные 
Хлебные палочки кунжутные;9.6;11.5;59.4;380.4;Хлебобулочные 
Хлебцы ржаные из муки грубого помола с полбой;11.4;1.7;64.9;321.0;Хлебобулочные 
Хлопковое;0.0;99.9;9.0;899.0;Масла
Хлопья кукурузные Gold с мёдом и орешками;7.0;4.0;81.2;389.0;Разное 
Хрен;2.5;0.0;16.3;71.0;Овощи
Хрен с майонезом;2.5;11.7;16.3;178.0;Соусы
Хурьма японская;0.5;0.0;15.9;62.0;Фрукты
Цыплёнок грудки филе;21.3;2.5;0.0;107.7;Птица 
Цыплёнок для жарки белое мясо;25.0;4.0;0.0;141.0;Птица 
Цыплёнок для жарки тёмное мясо;23.0;6.9;0.0;156.0;Птица 
Чай;20.0;0.0;6.9;109.0;Разное 
Черемша;2.4;0.0;6.5;34.0;Овощи
Черешня;1.1;0.0;12.3;52.0;Фрукты
Черника;1.1;0.0;8.6;40.0;Ягоды
Чернослив;1.9;0.5;59.5;256.0;Сухофрукты
Чернослив в шоколаде;3.9;14.2;58.4;358.0;Сухофрукты
Чеснок;6.5;0.0;21.2;106.0;Овощи
Чечевица;24.8;1.1;53.7;310.0;Зернобобовые
Чечевица красная;21.0;2.0;49.0;298.0;Зернобобовые
Чина;25.1;0.9;52.1;304.0;Зернобобовые
Шампиньоны консервированные;2.3;0.5;0.5;16.0;Грибы
Шампиньоны мороженные;4.2;1.0;0.1;26.0;Грибы
Шелковица;0.7;0.0;12.7;53.0;Фрукты
Шиповник свежий;1.6;0.0;24.0;101.0;Ягоды
Шиповник сушёный;0.4;0.0;60.0;253.0;Ягоды
Шоколад с изюмом;4.5;25.9;56.9;471.0;Сладости
Шоколад с фундуком;8.8;42.3;43.7;585.0;Сладости
Шоколад ;5.4;35.4;52.6;544.0;Сладости
Шпинат;2.9;0.0;2.3;21.0;Овощи
Шпроты в масле;17.0;32.0;0.0;356.0;Морепродукты
Щавель;1.5;0.0;5.3;28.0;Овощи
Щука;18.0;1.0;0.0;81.0;Морепродукты
Яблоки;0.4;0.0;11.3;46.0;Фрукты
Яйца куриные;12.7;11.5;0.7;157.0;Птица 
Ячмень;11.5;2.0;65.8;311.0;Зерновые 
;;;;;
